序号,贴图名称,对应内容/装备,尺寸(宽×高),英文生成提示词
1,NPCs/VoidBlacksmith.png,虚影铁匠｜城镇NPC,40x50,"A detailed void blacksmith town NPC (虚影铁匠). This is a friendly town NPC (a villager/merchant character) in a calm standing idle pose, full body, front-facing with a gentle three-quarter turn, wearing distinctive armor/robes, welcoming and humanoid.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Important: this is exactly ONE single animation frame of a town NPC — the image height must be only ONE frame tall (56 px, i.e. a 40x56 single cell, NOT the full 1400 px sprite sheet; I will assemble the sheet myself). The character stands upright and centered, facing slightly toward the viewer, feet near the bottom edge.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
2,NPCs/VoidAstrologer.png,归墟占星师｜城镇NPC,40x50,"A detailed void astrologer town NPC (归墟占星师). This is a friendly town NPC (a villager/merchant character) in a calm standing idle pose, full body, front-facing with a gentle three-quarter turn, wearing distinctive armor/robes, welcoming and humanoid.  Visual style: dark black-purple cosmic void palette, glowing violet runes, swirling star dust, soft purple rim light, deep empty-space gradient. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Important: this is exactly ONE single animation frame of a town NPC — the image height must be only ONE frame tall (56 px, i.e. a 40x56 single cell, NOT the full 1400 px sprite sheet; I will assemble the sheet myself). The character stands upright and centered, facing slightly toward the viewer, feet near the bottom edge.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
3,Projectiles/VoidDeathray.png,虚空死光｜弹幕,64x64,"A detailed void deathray (虚空死光). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 64x64 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
4,Projectiles/VoidSphere.png,虚空之球｜弹幕,40x40,"A detailed void orbiting sphere (虚空之球). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 40x40 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
5,Projectiles/VoidSeeker.png,虚空追踪弹｜弹幕,18x18,"A detailed void seeker missile (虚空追踪弹). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 18x18 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
6,Projectiles/StellarRainshot.png,星渊引导弹｜弹幕,10x10,"A detailed stellar rain guide tracer (星渊引导弹). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep navy blue and bright cyan starlight palette, sparkling star particles, cool blue rim light, radiant energy filaments, glassy crystalline highlights. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 10x10 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
7,Projectiles/EndRainshot.png,终焉星陨引导弹｜弹幕,14x14,"A detailed end starfall guide tracer (终焉星陨引导弹). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 14x14 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
8,Projectiles/EndStarfallBolt.png,终焉星陨弹｜弹幕,22x22,"A detailed end starfall bolt (终焉星陨弹). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 22x22 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
9,Projectiles/EndOrb.png,虚空之月｜弹幕,34x34,"A detailed end void moon orb (虚空之月). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 34x34 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
10,Projectiles/EndSeekerBolt.png,终焉追踪弹｜弹幕,16x16,"A detailed end seeker bolt (终焉追踪弹). This is a flying projectile drawn mid-motion: it looks fast and alive — streaking motion lines, a glowing energy trail behind it, and small spark/particle embers radiating off its surface, conveying speed and direction.  Visual style: deep crimson and dark magenta palette, seething void-end energy, crackling red-violet lightning arcs, swirling dark mist, ominous glowing core, intense red rim light. Rich 2D pixel-art shading with layered highlights, soft emissive glow, and fine edge detail.  Composition: the subject is centered on the 16x16 canvas, occupying roughly 80-90% of it, with a small safe margin so nothing is clipped.  Background: the background must be a solid, flat, pure white (#FFFFFF) with nothing else in it, so the sprite can be cleanly cut out later.  Overall style: detailed, high-quality 2D pixel art in Terraria's visual language — crisp outlines, layered shading, subtle glow and highlights, clean readable silhouette, game-ready sprite."
